fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,quality_category
6.8,-1.3432348716594436,0.24,7.8,-2.9374633654300153,54.0,214.0,0.9961,3.13,0.47,8.9,5,poor
6.8,-1.305636458102436,0.26,16.1,-2.995732273553991,55.0,196.0,0.9984,3.15,0.5,9.3,5,poor
7.1,-1.1363141558521213,0.24,13.1,-2.975929646257811,52.0,204.0,0.998,3.1,0.49,8.8,5,poor
6.9,-0.6143360001356555,0.32,13.2,-2.975929646257811,53.0,236.0,0.9973,3.2,0.5,9.6,5,poor
5.8,-1.2694006096483912,0.35,2.3,-2.9187712324178627,36.0,114.0,0.9924,3.28,0.5,10.2,4,poor
6.4,-1.5558971455060706,0.5,11.6,-3.1465551632885744,45.0,153.0,0.9972,3.15,0.43,8.8,5,poor
7.0,-1.8263509139976741,0.32,8.3,-3.079113882493042,38.0,126.0,0.9958,3.21,0.34,9.2,5,poor
10.2,-0.818710403535291,0.88,6.2,-2.995732273553991,20.0,124.0,0.9968,2.99,0.51,9.9,4,poor
6.8,-0.5603660693261269,0.29,2.2,-3.1941832122778293,15.0,77.0,0.9938,3.32,0.74,10.2,5,poor
5.6,-1.4024237430497744,0.25,9.7,-3.4112477175156566,12.0,68.0,0.994,3.31,0.34,10.5,5,poor
7.0,-1.8263509139976741,0.32,8.3,-3.079113882493042,38.0,126.0,0.9958,3.21,0.34,9.2,5,poor
5.8,-1.3432348716594436,0.24,9.2,-3.101092789211817,55.0,152.0,0.9961,3.31,0.38,9.4,5,poor
7.5,-1.305636458102436,0.36,7.0,-3.2968373663379125,45.0,164.0,0.9939,3.03,0.33,11.0,5,poor
5.8,-1.3432348716594436,0.24,9.2,-3.101092789211817,55.0,152.0,0.9961,3.31,0.38,9.4,5,poor
5.7,-1.2694006096483912,0.24,17.5,-3.101092789211817,60.0,167.0,0.9989,3.31,0.44,9.4,5,poor
7.5,-1.4653375684603434,0.36,7.0,-3.2968373663379125,43.0,161.0,0.9938,3.04,0.32,11.0,5,poor
7.5,-1.305636458102436,0.36,7.0,-3.2968373663379125,45.0,164.0,0.9939,3.03,0.33,11.0,5,poor
7.1,-1.422958345491482,0.41,17.8,-3.0576076772720784,39.0,145.0,0.9998,3.32,0.39,8.7,5,poor
7.1,-1.422958345491482,0.41,17.8,-3.0576076772720784,39.0,145.0,0.9998,3.32,0.39,8.7,5,poor
6.8,-0.444725822061467,0.08,9.7,-2.7646205525906042,26.0,142.0,0.9972,3.37,0.46,8.9,4,poor
7.3,-1.1363141558521213,0.23,13.7,-2.975929646257811,49.0,197.0,0.9985,3.2,0.46,8.7,5,poor
7.7,-1.1679623668029029,0.26,7.8,-3.4420193761824103,23.0,90.0,0.9944,3.13,0.5,10.4,5,poor
6.9,-0.9137938516755678,0.56,11.2,-3.123565645063876,40.0,142.0,0.9975,3.14,0.46,8.7,5,poor
6.1,-0.8891620644859025,0.14,10.4,-3.270169119255751,18.0,119.0,0.996,3.38,0.45,10.0,5,poor
5.9,-1.5558971455060706,0.28,4.6,-2.9187712324178627,40.0,199.0,0.9964,3.72,0.7,10.0,4,poor
8.5,-1.3432348716594436,0.21,16.2,-2.5902671654458267,41.0,197.0,0.998,3.02,0.5,9.8,3,poor
6.9,-0.9137938516755678,0.56,11.2,-3.123565645063876,40.0,142.0,0.9975,3.14,0.46,8.7,5,poor
5.8,-1.422958345491482,0.44,3.5,-3.506557897319982,5.0,109.0,0.9913,3.53,0.43,11.7,3,poor
5.8,-1.018877320649256,0.38,0.9,-3.270169119255751,3.0,75.0,0.9904,3.28,0.34,11.4,4,poor
6.9,-1.2344320118106447,0.4,19.45,-3.123565645063876,36.0,156.0,0.9996,2.93,0.47,8.9,5,poor
6.9,-1.2694006096483912,0.4,8.2,-3.2968373663379125,15.0,95.0,0.9944,3.17,0.33,10.2,5,poor
6.9,-1.2344320118106447,0.4,19.45,-3.123565645063876,36.0,156.0,0.9996,2.93,0.47,8.9,5,poor
5.3,-0.5430045221302259,0.07,6.9,-3.123565645063876,34.0,149.0,0.9944,3.34,0.57,9.7,5,poor
5.2,-0.5091603444469295,0.07,7.0,-3.101092789211817,33.0,147.0,0.9944,3.33,0.58,9.7,5,poor
5.8,-1.3823023398503531,0.26,13.1,-2.9565115604007097,44.0,148.0,0.9972,3.29,0.38,9.3,5,poor
6.6,-0.5430045221302259,0.3,5.1,-2.8473122684357177,30.0,123.0,0.9949,3.24,0.38,9.0,5,poor
7.0,-1.2344320118106447,0.54,10.7,-3.0576076772720784,59.0,234.0,0.9966,3.05,0.61,9.5,5,poor
7.7,-1.3432348716594436,0.4,1.1,-3.1465551632885744,9.0,60.0,0.9915,2.89,0.5,10.6,5,poor
6.8,-1.1363141558521213,0.34,1.2,-3.101092789211817,14.0,67.0,0.9919,3.05,0.47,10.6,4,poor
6.8,-0.818710403535291,0.37,5.1,-3.036554268074246,46.0,201.0,0.9938,3.08,0.65,10.5,4,poor
6.7,-1.07587280169862,0.3,15.6,-2.900422093749666,51.0,196.0,0.9982,3.19,0.49,9.3,5,poor
7.1,-1.0469690555162714,0.24,15.4,-2.8824035882469876,46.0,198.0,0.9988,3.12,0.49,8.8,5,poor
7.3,-1.1363141558521213,0.25,7.2,-2.864704011147587,47.0,180.0,0.9961,3.08,0.47,8.8,5,poor
7.4,-1.2694006096483912,0.42,19.8,-2.703062659591171,53.0,195.0,1.0,2.96,0.44,9.1,5,poor
9.1,-0.5259392615760389,0.38,1.6,-2.703062659591171,34.0,182.0,0.9968,3.23,0.38,8.5,3,poor
8.3,-0.9390477189967712,0.7,10.6,-3.079113882493042,33.0,169.0,0.9976,3.09,0.57,9.4,5,poor
7.2,-0.8416471888783893,0.24,6.7,-2.8302178350764176,40.0,163.0,0.995,3.2,0.41,9.9,5,poor
5.8,-1.07587280169862,0.21,6.6,-3.1941832122778293,50.0,167.0,0.9941,3.29,0.62,10.0,5,poor
6.6,-1.422958345491482,0.35,7.7,-3.4420193761824103,36.0,135.0,0.9938,3.19,0.37,10.5,5,poor
6.6,-1.422958345491482,0.35,7.7,-3.4420193761824103,36.0,135.0,0.9938,3.19,0.37,10.5,5,poor
8.3,-0.8891620644859025,0.51,2.0,-3.0576076772720784,11.0,207.0,0.993,3.02,0.55,11.4,5,poor
7.5,-1.305636458102436,0.31,5.8,-2.8473122684357177,131.0,313.0,0.9946,3.18,0.59,10.5,5,poor
7.2,-1.5558971455060706,0.41,1.3,-3.2968373663379125,33.0,85.0,0.992,3.17,0.51,10.4,5,poor
6.8,-1.422958345491482,0.34,4.6,-3.4112477175156566,37.0,135.0,0.9927,3.2,0.39,10.6,5,poor
6.5,-1.2694006096483912,0.34,9.9,-3.2441936328524905,30.0,133.0,0.9954,3.11,0.44,9.8,5,poor
5.6,-1.3432348716594436,0.26,5.7,-3.4420193761824103,12.0,80.0,0.9923,3.25,0.38,10.8,5,poor
5.9,-1.3432348716594436,0.4,1.3,-3.036554268074246,12.0,139.0,0.9945,3.45,0.53,10.4,5,poor
5.4,-1.1679623668029029,0.47,3.0,-2.9187712324178627,46.0,144.0,0.9931,3.29,0.76,10.0,5,poor
7.6,-1.7660917224794772,0.45,11.2,-2.900422093749666,56.0,137.0,0.997,3.15,0.47,10.0,5,poor
7.1,-1.0051219455807707,0.14,1.2,-2.8824035882469876,24.0,84.0,0.9941,3.15,0.43,8.9,5,poor
7.1,-0.9390477189967712,0.35,12.5,-3.101092789211817,26.0,72.0,0.9941,3.17,0.29,11.6,5,poor
6.6,-0.0987159729391577,0.19,0.8,-3.0159349808715104,17.0,204.0,0.9934,3.34,0.56,10.0,5,poor
6.3,-0.9390477189967712,0.35,5.9,-3.1941832122778293,82.5,260.0,0.9941,3.12,0.66,10.1,5,poor
6.5,-1.018877320649256,0.32,1.1,-3.4420193761824103,13.0,66.0,0.9916,3.1,0.46,10.6,5,poor
6.8,-0.991553216374702,0.51,11.8,-3.101092789211817,62.0,163.0,0.9976,3.19,0.44,8.8,5,poor
6.8,-1.305636458102436,0.12,1.3,-3.1941832122778293,87.0,168.0,0.992,3.18,0.41,10.0,5,poor
8.2,-1.2694006096483912,0.42,1.8,-3.4420193761824103,30.0,93.0,0.9917,3.09,0.39,11.4,5,poor
5.9,-1.3432348716594436,0.27,18.2,-3.0159349808715104,52.0,168.0,0.9993,3.35,0.44,9.4,5,poor
6.8,-0.991553216374702,0.51,11.8,-3.101092789211817,62.0,163.0,0.9976,3.19,0.44,8.8,5,poor
6.1,-1.0469690555162714,0.07,1.4,-2.659260036932778,22.0,108.0,0.9934,3.23,0.52,9.2,5,poor
7.1,-1.305636458102436,0.31,18.2,-3.0576076772720784,55.0,252.0,1.0,3.07,0.56,8.7,5,poor
6.8,-1.305636458102436,0.12,1.3,-3.1941832122778293,87.0,168.0,0.992,3.18,0.41,10.0,5,poor
6.9,-0.7113111511876165,0.24,1.2,-2.995732273553991,13.0,125.0,0.9932,3.17,0.51,9.4,5,poor
8.2,-1.2694006096483912,0.42,1.8,-3.4420193761824103,30.0,93.0,0.9917,3.09,0.39,11.4,5,poor
7.2,-1.6554818509355071,0.39,1.2,-3.2968373663379125,32.0,85.0,0.9918,3.16,0.5,10.5,5,poor
7.2,-1.6554818509355071,0.39,1.2,-3.2968373663379125,32.0,85.0,0.9918,3.16,0.5,10.5,5,poor
6.8,-1.3432348716594436,0.22,7.7,-3.036554268074246,57.0,210.0,0.9959,3.1,0.47,9.0,5,poor
6.8,-1.2344320118106447,0.5,13.3,-2.9187712324178627,48.0,194.0,0.9974,3.09,0.45,9.4,5,poor
7.8,-1.5558971455060706,0.27,1.2,-2.9565115604007097,20.0,89.0,0.9936,3.06,0.46,9.1,5,poor
7.1,-1.1679623668029029,0.47,13.6,-2.864704011147587,54.0,197.0,0.9978,3.1,0.49,9.3,5,poor
6.8,-1.2344320118106447,0.5,13.3,-2.9187712324178627,48.0,194.0,0.9974,3.09,0.45,9.4,5,poor
6.4,-1.07587280169862,0.1,1.1,-3.0159349808715104,19.0,84.0,0.9927,3.21,0.38,9.8,5,poor
7.2,-0.5960204698292225,0.09,1.5,-2.2164073967529934,16.0,151.0,0.9938,3.07,0.57,9.2,4,poor
6.1,-1.2694006096483912,0.32,2.5,-3.1465551632885744,23.0,218.5,0.9935,3.27,0.6,9.8,5,poor
6.2,-1.0469690555162714,0.04,1.2,-2.796881414808826,23.0,108.0,0.9934,3.26,0.54,9.2,5,poor
7.1,-1.1363141558521213,0.32,11.0,-3.2441936328524905,16.0,66.0,0.9937,3.24,0.4,11.5,3,poor
5.8,-1.2694006096483912,0.27,2.6,-2.900422093749666,30.0,156.0,0.9914,3.53,0.42,12.4,5,poor
7.2,-0.5091603444469295,0.2,9.9,-2.6450754019408214,21.0,174.0,0.9971,3.03,0.54,9.1,5,poor
6.1,-1.6044503709230613,0.25,1.2,-3.2441936328524905,34.0,128.0,0.9921,3.24,0.44,10.1,5,poor
7.1,-1.5558971455060706,0.27,8.6,-2.864704011147587,26.0,111.0,0.9956,2.95,0.52,9.5,5,poor
6.1,-0.8416471888783893,0.35,9.1,-2.8134107167600364,83.0,249.0,0.9971,3.37,0.5,8.5,5,poor
7.1,-1.5558971455060706,0.27,8.6,-2.864704011147587,26.0,111.0,0.9956,2.95,0.52,9.5,5,poor
7.0,-1.3823023398503531,0.29,15.2,-3.036554268074246,40.0,171.0,0.9982,3.22,0.45,9.3,5,poor
5.9,-1.3823023398503531,0.19,12.4,-3.036554268074246,50.0,162.0,0.9973,3.35,0.38,9.5,5,poor
7.2,-0.9390477189967712,0.62,11.0,-3.036554268074246,66.0,178.0,0.9976,3.16,0.5,8.7,5,poor
6.3,-1.5558971455060706,0.58,10.0,-2.501036031717884,34.0,126.0,0.9962,2.95,0.46,8.9,5,poor
7.2,-0.9390477189967712,0.62,11.0,-3.036554268074246,66.0,178.0,0.9976,3.16,0.5,8.7,5,poor
7.2,-1.2344320118106447,0.53,18.15,-3.036554268074246,59.0,182.0,0.9992,3.09,0.52,9.6,5,poor
6.5,-0.9649559038554361,0.34,3.4,-3.2968373663379125,34.0,200.0,0.9937,3.14,0.76,10.0,5,poor
7.0,-1.422958345491482,0.51,11.0,-3.506557897319982,55.0,227.0,0.9965,3.03,0.61,9.5,5,poor
6.7,-0.7528971849657193,0.34,8.9,-3.123565645063876,31.0,172.0,0.9964,3.22,0.6,9.2,5,poor
5.8,-1.3823023398503531,0.24,13.3,-3.101092789211817,41.0,137.0,0.9972,3.34,0.42,9.5,5,poor
6.7,-0.7528971849657193,0.34,8.9,-3.123565645063876,31.0,172.0,0.9964,3.22,0.6,9.2,5,poor
7.2,-0.9137938516755678,0.62,10.8,-3.170085660698769,70.0,189.0,0.9976,3.08,0.49,8.6,4,poor
5.7,-1.0906441190189327,0.34,1.0,-3.1941832122778293,13.0,174.0,0.992,3.27,0.66,10.0,5,poor
7.2,-0.9137938516755678,0.62,10.8,-3.170085660698769,70.0,189.0,0.9976,3.08,0.49,8.6,4,poor
6.5,-1.2006450142332614,0.29,2.25,-3.270169119255751,8.0,210.0,0.9937,3.19,0.62,9.9,5,poor
7.3,-0.6713856887784326,0.26,3.3,-2.396895772465287,7.0,135.0,0.9944,3.01,0.52,8.8,5,poor
6.8,-1.7092582477163114,0.37,1.6,-2.8824035882469876,47.0,154.0,0.9934,3.08,0.45,9.1,5,poor
7.2,-1.07587280169862,0.34,12.6,-3.0159349808715104,7.0,41.0,0.9942,3.19,0.4,11.7,5,poor
7.9,-1.6554818509355071,0.26,2.1,-3.2188758248682006,8.0,143.0,0.9942,3.05,0.74,9.8,5,poor
7.9,-1.6554818509355071,0.26,2.1,-3.2188758248682006,8.0,143.0,0.9942,3.05,0.74,9.8,5,poor
5.6,-1.0469690555162714,0.37,1.0,-3.2441936328524905,6.0,72.0,0.9902,3.37,0.34,11.4,5,poor
7.2,-1.1679623668029029,0.46,5.0,-3.1941832122778293,3.0,29.0,0.9906,3.04,0.53,12.5,4,poor
6.4,-1.7092582477163114,0.48,4.0,-1.6766466621275504,64.0,150.0,0.9945,3.06,0.4,9.3,5,poor
7.9,-1.0613165039244128,0.51,15.3,-3.036554268074246,54.0,171.0,0.9987,3.09,0.51,9.1,5,poor
7.9,-1.0613165039244128,0.51,15.3,-3.036554268074246,54.0,171.0,0.9987,3.09,0.51,9.1,5,poor
6.1,-1.422958345491482,0.3,1.5,-3.079113882493042,22.0,61.0,0.992,3.31,0.54,10.4,5,poor
6.7,-1.1679623668029029,0.31,9.9,-3.1941832122778293,10.0,175.0,0.9953,3.46,0.55,11.4,4,poor
7.2,-0.7743572359854884,0.65,10.4,-2.975929646257811,76.0,192.0,0.9976,3.16,0.42,8.7,5,poor
7.2,-0.7743572359854884,0.65,10.4,-2.975929646257811,76.0,192.0,0.9976,3.16,0.42,8.7,5,poor
8.4,-1.0469690555162714,0.71,12.2,-3.0576076772720784,22.0,160.0,0.9982,2.98,0.65,9.4,5,poor
5.9,-1.5558971455060706,0.24,12.1,-3.101092789211817,53.0,165.0,0.9969,3.25,0.39,9.5,5,poor
5.9,-0.991553216374702,0.1,1.6,-2.8473122684357177,39.0,128.0,0.9924,3.24,0.48,10.1,5,poor
6.8,-0.6713856887784326,0.3,4.2,-2.703062659591171,38.0,165.0,0.9945,3.2,0.42,9.1,5,poor
6.0,-1.3432348716594436,0.5,2.2,-3.0159349808715104,59.0,153.0,0.9928,3.08,0.61,9.8,5,poor
7.4,-0.8891620644859025,0.66,10.8,-2.9565115604007097,77.0,194.0,0.9976,3.05,0.46,8.7,5,poor
6.7,-1.07587280169862,0.54,16.3,-3.036554268074246,44.0,181.0,0.9987,3.04,0.56,8.8,5,poor
7.4,-0.8891620644859025,0.66,10.8,-2.9565115604007097,77.0,194.0,0.9976,3.05,0.46,8.7,5,poor
5.7,-1.7092582477163114,0.22,4.2,-3.1465551632885744,25.0,111.0,0.994,3.35,0.39,9.4,5,poor
7.1,-1.1679623668029029,0.5,14.5,-2.8134107167600364,6.0,148.0,0.9983,2.94,0.44,9.1,5,poor
6.9,-0.8891620644859025,0.33,10.1,-3.123565645063876,28.0,152.0,0.9968,3.2,0.52,9.4,5,poor
6.4,-0.7962879394794586,0.07,1.1,-3.473768074496991,10.0,131.0,0.9905,2.97,0.28,10.8,5,poor
6.4,-0.7423374247507171,0.06,1.0,-3.473768074496991,9.0,131.0,0.9904,2.97,0.29,10.8,5,poor
6.9,-0.8891620644859025,0.33,10.1,-3.123565645063876,28.0,152.0,0.9968,3.2,0.52,9.4,5,poor
6.4,-0.7962879394794586,0.07,1.1,-3.473768074496991,10.0,131.0,0.9905,2.97,0.28,10.8,5,poor
6.4,-0.7423374247507171,0.06,1.0,-3.473768074496991,9.0,131.0,0.9904,2.97,0.29,10.8,5,poor
7.3,-1.3823023398503531,0.29,7.5,-2.995732273553991,38.0,158.0,0.9965,3.43,0.38,9.6,5,poor
7.3,-1.3823023398503531,0.29,7.5,-2.995732273553991,38.0,158.0,0.9965,3.43,0.38,9.6,5,poor
6.1,-1.2694006096483912,0.25,17.75,-3.101092789211817,48.0,161.0,0.9993,3.34,0.48,9.5,5,poor
7.5,-1.4653375684603434,0.68,11.0,-3.036554268074246,37.0,133.0,0.9978,2.99,0.38,8.8,5,poor
7.5,-1.5558971455060706,0.68,10.9,-3.079113882493042,38.0,133.0,0.9978,3.0,0.36,8.7,5,poor
7.5,-1.5558971455060706,0.68,10.9,-3.079113882493042,38.0,133.0,0.9978,3.0,0.36,8.7,5,poor
7.5,-1.4653375684603434,0.68,11.0,-3.036554268074246,37.0,133.0,0.9978,2.99,0.38,8.8,5,poor
6.5,-0.7743572359854884,0.41,16.8,-2.4651040224918206,59.0,222.0,0.9993,3.18,0.58,9.0,5,poor
6.5,-1.3432348716594436,0.43,8.9,-2.4769384801388235,50.0,171.0,0.9965,2.85,0.5,9.0,5,poor
7.2,-1.422958345491482,0.34,1.1,-3.079113882493042,3.0,64.0,0.9913,3.23,0.51,11.4,5,poor
